Dias;YF(360);DF SOFR;DF CLP_CL;UF Seguro USD;DF Libor;DF USD_CLP;;codigocurva;tenor;DF;;;codigocurva;tenor;DF
7;0,019444444;0,999556824;0,998065264;33750,03244;0,982767369;0,999110381;;CURVA_USD_USA;7;0,999556824;;;CURVA_USD_USA;1;0,999936671
192;0,533333333;0,984697607;0,945543553;35541,42843;0,965044197;0,978764632;;CURVA_USD_USA;192;0,984697607;;;;;
374;1,038888889;0,969139073;0,898652093;36556,57519;0,949073074;0,954830935;;CURVA_USD_USA;374;0,969139073;;;;;
556;1,544444444;0,956625081;0,862362679;37631,25887;0,936369952;0,934784991;;CURVA_USD_USA;556;0,956625081;;;;;
738;2,05;0,944316982;0,831698833;38309,6941;0,924305455;0,921562054;;CURVA_USD_USA;738;0,944316982;;;;;
922;2,561111111;0,934004086;0,805007803;39487,9248;0,91252051;0,907194322;;CURVA_USD_USA;922;0,934004086;;n;col D;;
1103;3,063888889;0,923979641;0,783968105;40729,92562;0,901495278;0,893749589;;CURVA_USD_USA;1103;0,923979641;;r;trabajo de col E y D;;
1287;3,575;0,914362673;0,762878249;41772,98875;0,890787083;0,881268896;;CURVA_USD_USA;1287;0,914362673;;libor;Col F;;
1468;4,077777778;0,904997163;0,745759243;42556,41419;0,879681128;0,869657712;;CURVA_USD_USA;1468;0,904997163;;;;;
1652;4,588888889;0,895304177;0,725608045;43400,73051;0,868891456;0,859081969;;CURVA_USD_USA;1652;0,895304177;;;;;
1833;5,091666667;0,8858615;0,708024012;44263,09485;0,857514754;0,849520434;;CURVA_USD_USA;1833;0,8858615;;;;;
2019;5,608333333;0,87571751;0,688275473;45020,57584;0,846406103;0,835604272;;CURVA_USD_USA;2019;0,87571751;;;;;
2201;6,113888889;0,865894321;0,670504748;45693,15576;0,835038557;0,82208708;;CURVA_USD_USA;2201;0,865894321;;;;;
2383;6,619444444;0,855897208;0,652519779;46405,03622;0,82399805;0,808432068;;CURVA_USD_USA;2383;0,855897208;;;;;
2565;7,125;0,846006338;0,63567022;47207,46032;0,812671596;0,794899732;;CURVA_USD_USA;2565;0,846006338;;;;;
2748;7,633333333;0,835853534;0,61735764;48138,34694;0,801502375;0,781142947;;CURVA_USD_USA;2748;0,835853534;;;;;
2929;8,136111111;0,82592306;0,600106014;49109,61361;0,790362766;0,767660757;;CURVA_USD_USA;2929;0,82592306;;;;;
3113;8,647222222;0,815571856;0,582754829;50003,83938;0,779501178;0,755120853;;CURVA_USD_USA;3113;0,815571856;;;;;
3294;9,15;0,805504653;0,566449503;50882,11661;0,767589243;0,743050448;;CURVA_USD_USA;3294;0,805504653;;;;;
3478;9,661111111;0,794893879;0,549265004;51865,67381;0,755978378;0,728008808;;CURVA_USD_USA;3478;0,794893879;;;;;
3660;10,16666667;0,784504234;0,532887666;52958,03463;0,744107566;0,713176038;;CURVA_USD_USA;3660;0,784504234;;;;;
3846;10,68333333;0,772120725;0,515629659;54133,3148;0,732608089;0,694725897;;CURVA_USD_USA;3846;0,772120725;;;;;
4025;11,18055556;0,760441449;0,499528535;55352,36517;0,721224778;0,676970075;;CURVA_USD_USA;4025;0,760441449;;;;;
4210;11,69444444;0,75094455;0,483419183;56664,75862;0,710433417;0,660976443;;CURVA_USD_USA;4210;0,75094455;;;;;
