icp;tc;ois;usd_loc;libor;inflation;real
3,98;465,75;0,223;0,045353866;0,78094;3,839796567;1,33
3,98;488;0,2295;0,045190351;0,78094;3,966017669;1,34
3,98;494,85;0,2565;0,050010414;0,78094;4,005387958;1,17
3,98;495,53;0,26;0,050519067;0,78525;4,041345421;1,15
3,98;497,63;0,229;0,042735864;0,7855;4,209099382;1,07
3,98;498,78;0,2155;0,040139703;0,784;4,209099382;0,9
4,375;496,35;0,2255;0,041894711;0,78388;4,219266288;1,325
4,467;490,65;0,2225;0,041330498;0,78375;4,219266288;1,317
4,438;490,05;0,215;0,039228388;0,78375;4,295518089;1,118
4,395;489,55;0,217;0,038379021;0,78219;4,422604423;0,975
4,395;491,4;0,215;0,03768717;0,77969;4,448021689;0,795
4,498;490,25;0,215;0,039344559;0,77906;4,257206208;0,828
4,498;492,15;0,206;0,038444573;0,78031;4,181184669;0,798
4,498;494,45;0,22;0,041561082;0,78031;4,130503643;0,798
4,498;493,15;0,2165;0,040667164;0,78063;4,155844156;0,768
4,498;492,15;0,2185;0,040321551;0,78094;4,231865695;0,738
4,728;492,7;0,214;0,039256064;0,78094;4,257206208;0,968
4,788;489,36;0,2155;0,039546916;0,78125;4,257206208;0,978
4,788;485,3;0,197;0,035517692;0,78125;4,333227748;0,948
4,788;484,35;0,194;0,035154639;0,78063;4,307887235;0,928
4,74;483,27;0,2005;0,036576513;0,78125;4,282546722;0,86
4,74;479,88;0,212;0,037551613;0,7855;4,4345898;0,82
4,74;480,96;0,229;0,041060492;0,78605;4,383908774;0,84
4,74;479,7;0,239;0,042992546;0,7886;4,383908774;0,83
4,74;479,1;0,2515;0,044874359;0,79125;4,4345898;0,84
4,775;479,1;0,256;0,044741216;0,79275;4,535951853;0,865
4,753;479,21;0,2775;0,047210635;0,79325;4,662654419;0,763
4,753;476,5;0,266;0,046595128;0,799;4,561292366;0,783
4,753;474,05;0,269;0,047002688;0,797;4,561292366;0,703
4,753;472,81;0,269;0,046457011;0,7965;4,611973392;0,673
4,753;469,45;0,2695;0,046347143;0,7975;4,637313906;0,643
4,65;472,55;0,272;0,046850398;0,79875;4,637313906;0,58
4,65;474,05;0,262;0,044584199;0,79775;4,687994932;0,61
4,693;469,85;0,2405;0,040603491;0,79575;4,713335445;0,653
4,693;468,73;0,231;0,038962854;0,795;4,713335445;0,643
4,693;468,25;0,222;0,039078967;0,793;4,504878599;0,603
4,693;471,6;0,225;0,040343614;0,79275;4,421238789;0,633
4,693;476,26;0,2165;0,038213403;0,79375;4,497031454;0,603
4,693;478,62;0,215;0,037408798;0,79125;4,547559897;0,603
4,693;474,8;0,2123;0,037226775;0,79225;4,518110302;0,563
4,693;475,85;0,206;0,034658835;0,79025;4,696969697;0,483
4,884;476,1;0,2025;0,033643544;0,78875;4,747474747;0,634
4,884;476,83;0,213;0,034802711;0,78625;4,81201742;0,594
4,985;473,25;0,234;0,038812032;0,78725;4,746376049;0,635
5,055;474,05;0,21;0,034297625;0,792;4,849315345;0,675
5,055;473,85;0,213;0,034596764;0,7865;4,842201367;0,645
5,055;475,26;0,224;0,035870252;0,7845;4,898989899;0,625
5,055;477,83;0,2155;0,040647316;0,7855;4,164487749;0,495
5,12;481,75;0,206;0,040085569;0,7855;4,03668958;0,56
5,12;478,95;0,2095;0,041259301;0,78;3,960561497;0,5
5,12;481,13;0,203;0,039973301;0,7775;3,948448034;0,54
4,97;483,55;0,1995;0,039089256;0,7685;3,922196713;0,39
5,013;486,07;0,194;0,038139279;0,7715;3,924326965;0,453
5,013;486,5;0,205;0,040098419;0,7725;3,949345206;0,393
5,325;481,35;0,21;0,0421212;0,7705;3,841414756;0,735
5,325;480,85;0,223;0,044820925;0,772;3,84097381;0,835
5,325;481,54;0,23;0,046231997;0,7745;3,85306736;0,835
5,325;481,76;0,228;0,045639828;0,7745;3,869120646;0,865
5,325;479,8;0,243;0,04914697;0,7755;3,834346219;0,875
5,325;478,97;0,254;0,05245468;0,7765;3,760026738;0,885
5,325;480,45;0,259;0,054066682;0,7795;3,734101873;0,915
5,325;482,05;0,262;0,054643699;0,7795;3,737466578;0,935
5,325;481,93;0,254;0,054511901;0,782;3,643754786;0,915
5,325;477,45;0,268;0,05799489;0,7825;3,616008208;0,945
5,325;475,85;0,2485;0,052956263;0,78525;3,684826203;0,975
5,325;474,83;0,2305;0,046733612;0,781;3,852056222;1,015
5,595;473,31;0,2635;0,054895183;0,77775;3,733244248;1,305
5,595;473,9;0,262;0,05390674;0,77825;3,782486171;1,315
5,595;472,05;0,2475;0,050096284;0,77775;3,842463182;1,265
5,595;469,91;0,2505;0,048465665;0,77725;4,017300175;1,145
5,595;472,01;0,2625;0,04934895;0,774;4,117108875;1,185
5,595;473,86;0,2355;0,044995246;0,7725;4,043177139;1,135
5,595;472,16;0,234;0,043046256;0,7715;4,193883919;1,145
5,595;472,8;0,256;0,046295813;0,765;4,230188161;1,115
5,595;471,05;0,2255;0,040750444;0,765;4,233266733;1,115
5,595;475,45;0,222;0,041090868;0,76275;4,120879121;1,185
5,595;473,48;0,218;0,039616958;0,7625;4,195804196;1,225
5,595;469,26;0,2235;0,040552133;0,763;4,205216566;1,235
5,595;467,24;0,226;0,041423106;0,762;4,157389875;1,245
5,595;467,24;0,228;0,041789682;0,762;4,157389875;1,245
5,595;467,65;0,224;0,040699267;0,762;4,193883919;1,225
5,595;462,67;0,217;0,039427415;0,762;4,193883919;1,315
5,595;462,33;0,22;0,041343063;0,7625;4,057512641;1,355
5,595;460,83;0,2165;0,04114256;0,761;4,004527146;1,385
5,595;460,45;0,21;0,040010764;0,761;3,994175161;1,465
5,595;462,46;0,2085;0,039522814;0,761;4,014605374;1,535
5,595;461,17;0,211;0,040167408;0,75775;3,980472213;1,555
5,595;465,83;0,1945;0,037653256;0,75625;3,90645164;1,615
5,595;468,77;0,1995;0,037301775;0,752;4,021899786;1,665
5,595;467,97;0,191;0,036378183;0,749;3,932549312;1,695
5,595;467,4;0,1835;0,034809224;0,7465;3,935242839;1,765
5,595;464,83;0,1945;0,036739215;0,7435;3,936141502;1,815
5,493;468,2;0,1855;0,036204568;0,7425;3,804319713;1,713
5,46;466,35;0,186;0,037108963;0,738;3,699052403;1,74
5,585;467,56;0,187;0,038841229;0,738;3,553080144;1,865
5,59;471,44;0,182;0,03864795;0,7355;3,463598987;1,89
5,6;473,97;0,18;0,038223247;0,7355;3,463598987;1,92
5,63;469,25;0,194;0,041658116;0,73475;3,421698148;1,94
5,65;467,95;0,181;0,038703925;0,737;3,446601337;1,97
5,625;466,8;0,177;0,037013618;0,733;3,505223444;1,985
5,61;473,24;0,182;0,037976428;0,7305;3,500882149;1,98
5,64;471,95;0,19;0,039960896;0,73175;3,479213752;2,03
5,64;471,45;0,1835;0,0385199;0,73125;3,483507863;2,06
5,67;469,49;0,176;0,036389472;0,73125;3,536737235;2,09
5,66;466,9;0,169;0,034374395;0,7295;3,586550436;2,04
5,66;467,43;0,169;0,034556295;0,7295;3,567671233;2,02
5,66;465,13;0,178;0,036975302;0,7295;3,511830635;2,05
5,583;468,35;0,172;0,036127481;0,7295;3,473090195;2,003
5,577;466,06;0,183;0,038530022;0,72725;3,454105177;2,037
5,573;467,85;0,174;0,036372674;0,72725;3,47902657;2,123
5,553;468,45;0,175;0,03731039;0,725;3,40052731;2,103
5,56;466,53;0,18;0,038401028;0,725;3,398346503;2,12
5,613;467,38;0,1775;0,035359117;0,72175;3,623128464;2,153
5,623;466,61;0,179;0,034627689;0,7225;3,734800232;2,143
5,633;467,67;0,176;0,034630336;0,7225;3,671925073;2,183
5,645;467,8;0,172;0,032958466;0,72025;3,758761139;2,195
5,65;466,15;0,186;0,036138823;0,72025;3,706996729;2,25
5,675;468,75;0,177;0,034295486;0,72125;3,722392257;2,235
5,687;471,5;0,168;0,033405957;0,72725;3,657371605;2,237
5,713;472,1;0,1815;0,035714362;0,72775;3,698417623;2,223
5,71;472,25;0,18;0,035658521;0,72775;3,673596029;2,28
5,72;471,6;0,183;0,036507752;0,72775;3,647944412;2,35
5,73;472,49;0,181;0,03678505;0,72625;3,573496567;2,38
5,715;474,4;0,1675;0,035562294;0,72725;3,425380081;2,365
5,71;473,9;0,165;0,035103769;0,72875;3,425380081;2,44
5,71;473,02;0,178;0,038064389;0,7325;3,425380081;2,44
5,72;472,93;0,201;0,04312952;0,735;3,425380081;2,42
5,743;469,73;0,191;0,040398291;0,735;3,47502327;2,543
5,727;467,22;0,195;0,04086824;0,7335;3,499844865;2,527
5,72;465,28;0,199;0,041734993;0,734;3,499844865;2,52
5,72;465,65;0,195;0,040923957;0,7345;3,499844865;2,52
5,725;464,56;0,185;0,038967893;0,7345;3,487037363;2,545
5,73;463,95;0,18;0,038997853;0,735;3,392494489;2,56
5,74;461,02;0,186;0,040215894;0,73525;3,400558486;2,57
5,73;462,84;0,159;0,03338105;0,73575;3,504510756;2,58
5,695;467,34;0,142;0,031322086;0,73475;3,331020125;2,585
5,673;466,79;0,163;0,035112002;0,7405;3,437613678;2,593
5,64;462,95;0,1545;0,033656223;0,7425;3,408470736;2,55
5,625;462,11;0,149;0,032817299;0,743;3,373434206;2,545
5,61;462,52;0,156;0,034621105;0,7435;3,350153032;2,53
5,59;463,55;0,151;0,034396192;0,7485;3,285930559;2,54
5,6;462,35;0,167;0,037251612;0,74975;3,361149841;2,58
5,563;462,85;0,167;0,038644109;0,75125;3,246516861;2,553
5,58;461,15;0,1735;0,039508596;0,75175;3,301272107;2,57
5,589;461,57;0,17;0,0373897;0,75225;3,420260118;2,629
5,618;462,57;0,173;0,037283153;0,75425;3,499844865;2,628
5,635;457,68;0,174;0,038007009;0,75475;3,455323233;2,675
5,635;456,6;0,1775;0,039605712;0,756;3,388147688;2,675
5,605;456,38;0,183;0,041319104;0,75775;3,356032336;2,665
5,565;457,79;0,166;0,037024162;0,76025;3,408625419;2,645
5,52;456,85;0,1725;0,038816179;0,75944;3,37496898;2,59
5,467;458,83;0,1545;0,035236062;0,76306;3,345798723;2,527
5,461;458,51;0,151;0,035445715;0,765;3,258927094;2,561
5,357;462,73;0,1025;0,025410661;0,76611;3,090288551;2,497
5,293;465,17;0,103;0,027149058;0,76472;2,901248356;2,453
5,08;472,52;0,1;0,027602972;0,76667;2,777490752;2,41
5,083;472,97;0,09;0,025060511;0,76994;2,76509124;2,493
4,897;473,51;0,08;0,024479907;0,76661;2,505270991;2,307
4,95;471,15;0,0855;0,025276191;0,76961;2,603305785;2,48
5,055;470,73;0,087;0,024009674;0,77283;2,800379993;2,655
5,055;472,04;0,09;0,024901871;0,77483;2,800379993;2,655
5,067;472,11;0,087;0,02454064;0,77594;2,750815745;2,677
5,102;466,71;0,0925;0,025015454;0,77761;2,875379562;2,632
4,92;470,41;0,075;0,019823038;0,78017;2,95175493;2,4
4,75;468,39;0,083;0,023526149;0,78439;2,767319511;2,19
4,84;467,67;0,0845;0,024200133;0,78817;2,752066116;2,3
4,78;467,34;0,088;0,025518289;0,79233;2,732355603;2,26
4,84;467,06;0,082;0,024240183;0,79456;2,687847656;2,3
4,82;467,06;0,078;0,023589603;0,79789;2,63825637;2,26
4,82;466,06;0,079;0,022968662;0,79589;2,737438941;2,36
4,84;465,15;0,0825;0,023559459;0,79589;2,787030226;2,32
4,84;464,7;0,0795;0,022802511;0,79811;2,782577066;2,27
4,915;460,85;0,089;0,025587791;0,8;2,782577066;2,345
4,925;459,45;0,083;0,023927499;0,80217;2,782577066;2,335
4,925;460,06;0,0935;0,027685568;0,80322;2,712643298;2,355
4,925;462,93;0,089;0,02684415;0,80706;2,675753925;2,405
4,638;463,9;0,086;0,026879879;0,81417;2,604871063;2,208
4,699;463,09;0,088;0,027402427;0,81539;2,618538892;2,249
4,711;462,79;0,0845;0,031723316;0,81844;2,180042582;2,201
4,72;469,45;0,083;0,028803765;0,82133;2,366718028;2,14
4,635;476,05;0,085;0,030238673;0,828;2,327483121;2,025
4,61;475,25;0,0825;0,028838624;0,83083;2,376794204;2,01
4,585;478,95;0,0705;0,02537519;0,83411;2,317411402;2,025
4,635;478,14;0,0695;0,024798791;0,8355;2,341535554;2,075
4,685;480,38;0,065;0,022936135;0,83494;2,366183297;2,115
4,685;481,05;0,064;0,022605992;0,83578;2,366183297;2,115
