Sistema_Origen;tipoflujo;moneda;numerooperacion;tipoproducto;nombrecliente;MonedaColateral;FechaFijacion;FechaInicio;FechaVencimiento;FechaPago;NocionalRemanente;amortizacion;TasaFija;ConvencionInteres;ConvencionDias;IndiceFlotante;Spread;TipoInteres;flujoadicional
BAC;PAS;CLP;1;SWAP;AAA;USD;22-08-2022;22-08-2022;22-02-2023;22-02-2023;1200000000;122153819,2;0,1122;Linear;ACT/360 (linear);FIJA;0;Fijo;0
BAC;PAS;CLP;1;SWAP;AAA;USD;22-02-2023;22-02-2023;22-08-2023;22-08-2023;1077846181;130166719,7;0,1122;Linear;ACT/360 (linear);FIJA;0;Fijo;0
BAC;PAS;CLP;1;SWAP;AAA;USD;22-08-2023;22-08-2023;22-02-2024;22-02-2024;947679461;136623561,1;0,1122;Linear;ACT/360 (linear);FIJA;0;Fijo;0
BAC;PAS;CLP;1;SWAP;AAA;USD;22-02-2024;22-02-2024;22-08-2024;22-08-2024;811055900;144964025;0,1122;Linear;ACT/360 (linear);FIJA;0;Fijo;0
BAC;PAS;CLP;1;SWAP;AAA;USD;22-08-2024;22-08-2024;24-02-2025;24-02-2025;666091874,9;152356473,2;0,1122;Linear;ACT/360 (linear);FIJA;0;Fijo;0
BAC;PAS;CLP;1;SWAP;AAA;USD;24-02-2025;24-02-2025;22-08-2025;22-08-2025;513735401,7;162309377,4;0,1122;Linear;ACT/360 (linear);FIJA;0;Fijo;0
BAC;PAS;CLP;1;SWAP;AAA;USD;22-08-2025;22-08-2025;23-02-2026;23-02-2026;351426024,3;170707180,4;0,1122;Linear;ACT/360 (linear);FIJA;0;Fijo;0
BAC;PAS;CLP;1;SWAP;AAA;USD;23-02-2026;23-02-2026;24-08-2026;24-08-2026;180718844;180718844;0,1122;Linear;ACT/360 (linear);FIJA;0;Fijo;0
BAC;ACT;EUR;1;SWAP;AAA;USD;22-08-2022;22-08-2022;22-02-2023;22-02-2023;1262449,59;142385,7617;0,0566;Linear;ACT/360 (linear);FIJA;0;Fijo;0
BAC;ACT;EUR;1;SWAP;AAA;USD;22-02-2023;22-02-2023;22-08-2023;22-08-2023;1120063,828;147033,1204;0,0566;Linear;ACT/360 (linear);FIJA;0;Fijo;0
BAC;ACT;EUR;1;SWAP;AAA;USD;22-08-2023;22-08-2023;22-02-2024;22-02-2024;973030,7079;150758,3284;0,0566;Linear;ACT/360 (linear);FIJA;0;Fijo;0
BAC;ACT;EUR;1;SWAP;AAA;USD;22-02-2024;22-02-2024;22-08-2024;22-08-2024;822272,3795;155378,1583;0,0566;Linear;ACT/360 (linear);FIJA;0;Fijo;0
BAC;ACT;EUR;1;SWAP;AAA;USD;22-08-2024;22-08-2024;24-02-2025;24-02-2025;666894,2212;159404,8156;0,0566;Linear;ACT/360 (linear);FIJA;0;Fijo;0
BAC;ACT;EUR;1;SWAP;AAA;USD;24-02-2025;24-02-2025;22-08-2025;22-08-2025;507489,4056;164624,8641;0,0566;Linear;ACT/360 (linear);FIJA;0;Fijo;0
BAC;ACT;EUR;1;SWAP;AAA;USD;22-08-2025;22-08-2025;23-02-2026;23-02-2026;342864,5416;168934,4295;0,0566;Linear;ACT/360 (linear);FIJA;0;Fijo;0
BAC;ACT;EUR;1;SWAP;AAA;USD;23-02-2026;23-02-2026;24-08-2026;24-08-2026;173930,1121;173930,1121;0,0566;Linear;ACT/360 (linear);FIJA;0;Fijo;0
