codigocurva;tenor;DF
CURVA_USD_USA;1;0,999936671
CURVA_USD_USA;2;0,999873349
CURVA_USD_USA;9;0,999430974
CURVA_USD_USA;16;0,998814385
CURVA_USD_USA;23;0,998212714
CURVA_USD_USA;32;0,997436809
CURVA_USD_USA;63;0,994596482
CURVA_USD_USA;93;0,991519124
CURVA_USD_USA;126;0,987829594
CURVA_USD_USA;155;0,984562511
CURVA_USD_USA;183;0,981362615
CURVA_USD_USA;214;0,977771978
CURVA_USD_USA;245;0,9742673
CURVA_USD_USA;275;0,970846949
CURVA_USD_USA;305;0,967485136
CURVA_USD_USA;336;0,964088352
CURVA_USD_USA;367;0,960725796
CURVA_USD_USA;735;0,926056212
CURVA_USD_USA;1099;0,897643455
CURVA_USD_USA;1463;0,871287386
CURVA_USD_USA;1828;0,845878322
CURVA_USD_USA;2194;0,820819784
CURVA_USD_USA;2559;0,796594048
CURVA_USD_USA;2926;0,772746085
CURVA_USD_USA;3290;0,749302124
CURVA_USD_USA;3655;0,725795152
CURVA_USD_USA;4020;0,702354416
CURVA_USD_USA;4385;0,680068633
CURVA_USD_USA;4750;0,664609399
CURVA_USD_USA;5117;0,655850007
CURVA_USD_USA;5481;0,616140744
CURVA_USD_USA;5846;0,630020126
CURVA_USD_USA;6211;0,611668845
CURVA_USD_USA;6577;0,593804716
CURVA_USD_USA;6944;0,576416321
CURVA_USD_USA;7308;0,528940669
CURVA_USD_USA;7672;0,544305037
CURVA_USD_USA;8038;0,528408304
CURVA_USD_USA;8403;0,513016782
CURVA_USD_USA;8768;0,498073585
CURVA_USD_USA;9135;0,466159764
CURVA_USD_USA;9499;0,469950415
CURVA_USD_USA;9864;0,456261659
CURVA_USD_USA;10229;0,44297163
CURVA_USD_USA;10594;0,430068715
CURVA_USD_USA;10962;0,417441697
Curva_Libor3M;1;0,999935798
Curva_Libor3M;2;0,999870528
Curva_Libor3M;93;0,99161741
Curva_Libor3M;100;0,990488944
Curva_Libor3M;184;0,980411943
Curva_Libor3M;282;0,968638412
Curva_Libor3M;373;0,958043384
Curva_Libor3M;464;0,948014575
Curva_Libor3M;555;0,938583763
Curva_Libor3M;646;0,929723754
Curva_Libor3M;735;0,922148448
Curva_Libor3M;826;0,914402341
Curva_Libor3M;914;0,906968729
Curva_Libor3M;1008;0,899090103
Curva_Libor3M;1099;0,891523042
Curva_Libor3M;1190;0,884335302
Curva_Libor3M;1281;0,877200957
Curva_Libor3M;1372;0,870119613
Curva_Libor3M;1463;0,863090879
Curva_Libor3M;1554;0,856221253
Curva_Libor3M;1645;0,849402177
Curva_Libor3M;1736;0,84263328
Curva_Libor3M;1828;0,835840661
Curva_Libor3M;1919;0,829058056
Curva_Libor3M;2010;0,822326039
Curva_Libor3M;2102;0,815571112
Curva_Libor3M;2194;0,808867125
Curva_Libor3M;2285;0,802332694
Curva_Libor3M;2375;0,795917938
Curva_Libor3M;2467;0,789409542
Curva_Libor3M;2559;0,782950178
Curva_Libor3M;2650;0,776565056
Curva_Libor3M;2740;0,770297305
