NombreIndice;Fecha;Valor
Libor1M;25-06-2020;0,001836
Libor1M;24-06-2020;0,001795
Libor1M;23-06-2020;0,001845
Libor1M;22-06-2020;0,001848
Libor1M;19-06-2020;0,0019
Libor1M;18-06-2020;0,0019
Libor1M;17-06-2020;0,00194
Libor1M;16-06-2020;0,00194
Libor1M;15-06-2020;0,00194
Libor1M;12-06-2020;0,00195
Libor1M;11-06-2020;0,00185
Libor1M;10-06-2020;0,00191
Libor1M;09-06-2020;0,00188
Libor1M;08-06-2020;0,00177
Libor1M;05-06-2020;0,0018
Libor1M;04-06-2020;0,00175
Libor1M;03-06-2020;0,00174
Libor1M;02-06-2020;0,00179
Libor1M;01-06-2020;0,00178
Libor1M;29-05-2020;0,00183
Libor1M;28-05-2020;0,00173
Libor1M;27-05-2020;0,00174
Libor1M;26-05-2020;0,0017
Libor1M;25-05-2020;0,00174
Libor1M;22-05-2020;0,00174
Libor1M;20-05-2020;0,00173
Libor1M;19-05-2020;0,00171
Libor1M;18-05-2020;0,00171
Libor1M;15-05-2020;0,00172
Libor1M;14-05-2020;0,00182
Libor1M;13-05-2020;0,00184
Libor1M;12-05-2020;0,00184
Libor1M;11-05-2020;0,00191
Libor1M;08-05-2020;0,00198
Libor1M;07-05-2020;0,00198
Libor1M;06-05-2020;0,00222
Libor1M;05-05-2020;0,00247
Libor1M;04-05-2020;0,00263
Libor1M;30-04-2020;0,0033
Libor1M;29-04-2020;0,0037
Libor1M;28-04-2020;0,00404
Libor1M;27-04-2020;0,00438
Libor1M;24-04-2020;0,00441
Libor1M;23-04-2020;0,00487
Libor1M;22-04-2020;0,0057
Libor1M;21-04-2020;0,00625
Libor1M;20-04-2020;0,00667
Libor1M;17-04-2020;0,00673
Libor1M;16-04-2020;0,00718
Libor1M;15-04-2020;0,00751
Libor1M;14-04-2020;0,00794
Libor1M;13-04-2020;0,00814
Libor1M;09-04-2020;0,00814
Libor1M;08-04-2020;0,00829
Libor1M;07-04-2020;0,00864
Libor1M;06-04-2020;0,00921
Libor1M;03-04-2020;0,00985
Libor1M;02-04-2020;0,00982
Libor1M;01-04-2020;0,01016
Libor1M;31-03-2020;0,00993
Libor1M;30-03-2020;0,00985
Libor1M;27-03-2020;0,00989
Libor1M;26-03-2020;0,00941
Libor1M;25-03-2020;0,00959
Libor1M;24-03-2020;0,00925
Libor1M;23-03-2020;0,00947
Libor1M;20-03-2020;0,00929
Libor1M;19-03-2020;0,00924
Libor1M;18-03-2020;0,00773
Libor1M;17-03-2020;0,0075
Libor1M;16-03-2020;0,00612
Libor1M;13-03-2020;0,008
Libor1M;12-03-2020;0,00705
Libor1M;11-03-2020;0,00797
Libor1M;10-03-2020;0,00811
Libor1M;09-03-2020;0,00725
Libor1M;06-03-2020;0,00863
Libor1M;05-03-2020;0,01005
Libor1M;04-03-2020;0,01016
Libor1M;03-03-2020;0,01377
Libor1M;02-03-2020;0,01356
Libor1M;28-02-2020;0,01515
Libor1M;27-02-2020;0,01581
Libor1M;26-02-2020;0,01603
Libor1M;25-02-2020;0,01613
Libor1M;24-02-2020;0,01616
Libor1M;21-02-2020;0,01627
Libor1M;20-02-2020;0,01629
Libor1M;19-02-2020;0,01639
Libor1M;18-02-2020;0,01647
Libor1M;17-02-2020;0,01647
Libor1M;14-02-2020;0,01658
Libor1M;13-02-2020;0,01659
Libor1M;12-02-2020;0,0165
Libor1M;11-02-2020;0,01653
Libor1M;10-02-2020;0,01658
Libor1M;07-02-2020;0,01665
Libor1M;06-02-2020;0,01671
Libor1M;05-02-2020;0,0167
Libor1M;04-02-2020;0,01666
Libor1M;03-02-2020;0,01668
Libor1M;31-01-2020;0,01662
Libor1M;30-01-2020;0,01655
Libor1M;29-01-2020;0,01645
Libor1M;28-01-2020;0,0165
Libor1M;27-01-2020;0,01649
Libor1M;24-01-2020;0,0166
Libor1M;23-01-2020;0,01661
Libor1M;22-01-2020;0,01659
Libor1M;21-01-2020;0,0166
Libor1M;20-01-2020;0,01653
Libor1M;17-01-2020;0,01654
Libor1M;16-01-2020;0,01658
Libor1M;15-01-2020;0,01669
Libor1M;14-01-2020;0,0167
Libor1M;13-01-2020;0,01676
Libor1M;10-01-2020;0,01677
Libor1M;09-01-2020;0,01684
Libor1M;08-01-2020;0,01677
Libor1M;07-01-2020;0,01699
Libor1M;06-01-2020;0,01692
Libor1M;03-01-2020;0,01714
Libor1M;02-01-2020;0,01734
Libor1M;30-12-2019;0,01781
Libor1M;27-12-2019;0,01799
Libor1M;26-12-2019;0,01805
